"AG
Code",AG Code Description,"Main A/c
Code",Main Account Code Description,"Existing
Account
Codes","Erstwhile Specific Account Code
Description",GL Code,GL Description on ERP
12,Provision for Depreciation on Fixed Assets,12.2,Buildings,12 233,Other Buildings,1223300000,Dep Prov - Other Buildings
12,Provision for Depreciation on Fixed Assets,12.3,Hydraulic Works,12 315,"Sweet Water Arrangement including Reservoir, etc.",1231500000,"Dep Prov - Sweet Water Arrangement including Reservoir, etc."
12,Provision for Depreciation on Fixed Assets,12.3,Hydraulic Works,12 320,Plant and pipelines for Water Supply in Residential Colony,1232000000,Dep Prov - Plant-pipelines for Water Spply in Residential Col
12,Provision for Depreciation on Fixed Assets,12.3,Hydraulic Works,12 322,Drainage and Sewerage- Residential Colony,1232200000,Dep Prov - Drainage and Sewerage- Residential Colony
12,Provision for Depreciation on Fixed Assets,12.4,Other Civil Works,12 401,Pucca Roads,1240100000,Dep Prov - Pucca Roads
12,Provision for Depreciation on Fixed Assets,12.4,Other Civil Works,12 402,Kutcha Roads,1240200000,Dep Prov - Kutcha Roads
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 521,"Mulsyfire System, Fire Hydrant, Fire Fighting Equipments, Fire Alarm Systems And Allied Equipments",1252100000,Dep Prov - Mulsy Syst-Fire Hyd- Fight.-Allied Equip-Alarm Syst
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 522,"Periphery Lighting, High Mast, Street Light And Signals And Allied Lightings",1252200000,"Dep Prov - Periphery-Allied Lightng, High Mast, Street L & S"
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 541,Transmission Plant: Trasformers Having a rating of 100KVA and above,1254100000,Dep Prov - Transmission Plant:Transformer rating 100KVA & abv
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 541,Transmission Plant: Trasformers Having a rating of 100KVA and above,1254100001,Dep Prov - Transmission Plant:Transformer rating 100KVA & abv
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 542,Other Transformers,1254200000,Dep Prov - Other Transformers
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 542,Other Transformers,1254200001,Dep Prov - Other Transformers
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 543,"Other Transmission Plant: Transformer Kiosks, Sub-Station Equipment and other Fixed Apparatus",1254300000,"Dep Prov - Othr TP: Transformer Kiosks, SS Equip&othr Fxd App"
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 543,"Other Transmission Plant: Transformer Kiosks, Sub-Station Equipment and other Fixed Apparatus",1254300001,"Dep Prov - Othr TP: Transformer Kiosks, SS Equip&othr Fxd App"
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 544,Capacitor Bank (PSDF Funded),1254400000,Dep Prov - Capacitor Bank (PSDF Funded)
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 545,Renovation & Upgradation (PSDF Funded),1254500000,Dep Prov - Renovation & Upgradation (PSDF Funded)
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 545,Renovation & Upgradation (PSDF Funded),1254500001,Dep Prov - Renovation & Upgrdation (PSDF Funded)Manual
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 546,HTLS conductors (PSDF Funded),1254600000,Dep Prov - HTLS conductors (PSDF Funded)
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 551,"Material Handling Equipment: Earth-Movers, Bulldozers",1255100000,"Dep Prov - Material Handling Equip: Earth-Movers, Bulldozers"
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 552,Material Handling Equipment: Cement Mixers,1255200000,Dep Prov - Material Handling Equipment: Cement Mixers
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 553,Material Handling Equipment: Cranes,1255300000,Dep Prov - Material Handling Equipment: Cranes
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 555,Material Handling Equipment: Others,1255500000,Dep Prov - Material Handling Equipment: Others
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 561,Switchgear including Cable Connections,1256100000,Dep Prov - Switchgear including Cable Connections
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 563,Batteries including Charging Equipment,1256300000,Dep Prov - Batteries including Charging Equipment
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 565,Fabrication Shop/Workshop Plant and Equipments,1256500000,Dep Prov - Fabrication Shop/Workshop Plant and Equipments
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 567,Lighitning Arresters,1256700000,Dep Prov - Lighitning Arresters
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 571,Communication Equipment: Radio & High Frequency Carrier System,1257100000,Dep Prov - Communication Equip:Radio & High Freq Carrier Syst
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 571,Communication Equipment: Radio & High Frequency Carrier System,1257100001,Dep Prov - Prov for Dep Comuni Eqip:Radio&High Freq Carri(fi)
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 572,Communication Equipment: Telephone lines & Telephone,1257200000,Dep Prov - Communication Equip: Telephone lines & Telephone
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 574,Static Machine Tools & Equipments,1257400000,Dep Prov - Static Machine Tools & Equipments
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 576,Air-Conditioning Plant-Static,1257600000,Dep Prov - Air-Conditioning Plant- Static
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 576,Air-Conditioning Plant-Static,1257600001,Dep Prov - Air-Conditioning Plant- Static
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 577,Air-Conditioning Palnt-Portable,1257700000,Dep Prov - Air-Conditioning Plant- Portable
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 580,Refrigerators and Water Coolers,1258000000,Dep Prov - Refrigerators and Water Coolers
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 580,Refrigerators and Water Coolers,1258000001,Dep Prov - Refrigerators and Water Coolers
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 581,Meter Testing Laboratory Tools & Equipments,1258100000,Dep Prov - Meter Testing Laboratory Tools & Equipments
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 582,Equipments in Hospitals/Clinics,1258200000,Dep Prov - Equipments in Hospitals/Clinics
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 583,Tools & Tackles,1258300000,Dep Prov - Tools & Tackles
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 583,Tools & Tackles,1258300001,Dep Prov - Tools & Tackles
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 599,Other Miscellaneous Equipments,1259900000,Dep Prov - Other Miscellaneous Equipments
12,Provision for Depreciation on Fixed Assets,12.5,Plant and Machinery,12 599,Other Miscellaneous Equipments,1259900001,Dep Prov - Other Miscellaneous Equipments
12,Provision for Depreciation on Fixed Assets,12.6,"Lines, Cable Network etc.",12 601,"Overhead Lines (towers, poles, fixtures, over-head conductors and devices): Lines on fabricated steel supports operating at nominal voltages higher than 66 KV",1260100000,Dep Prov - OL: L (fabricated steel supp)operating at V>66KVA
12,Provision for Depreciation on Fixed Assets,12.6,"Lines, Cable Network etc.",12 601,"Overhead Lines (towers, poles, fixtures, over-head conductors and devices): Lines on fabricated steel supports operating at nominal voltages higher than 66 KV",1260100001,Dep Prov - OL: L (fabricated steel supp)operating at V>66KVA
12,Provision for Depreciation on Fixed Assets,12.6,"Lines, Cable Network etc.",12 602,"Overhead Lines (towers, poles, fixtures, over-head conductors and devices): Lines on steel supports operating at nominal voltages higher than 13.2KV but not exceeding 66 KV",1260200000,Dep Prov - OL: L (steel supp)operating at 13.2KVA<V<=66KVA
12,Provision for Depreciation on Fixed Assets,12.6,"Lines, Cable Network etc.",12 602,"Overhead Lines (towers, poles, fixtures, over-head conductors and devices): Lines on steel supports operating at nominal voltages higher than 13.2KV but not exceeding 66 KV",1260200001,Dep Prov - OL: L (steel supp)operating at 13.2KVA<V<=66KVA
12,Provision for Depreciation on Fixed Assets,12.6,"Lines, Cable Network etc.",12 603,"Overhead Lines (towers, poles, fixtures, over-head conductors and devices): Lines on reinforced concrete supports",1260300000,Dep Prov - OL: Lines on reinforced concrete supports
12,Provision for Depreciation on Fixed Assets,12.6,"Lines, Cable Network etc.",12 611,Underground Cables including Joint Boxes and Disconnecting Boxes,1261100000,Dep Prov - Undrgrnd Cbls includng Joint & Disconnecting Boxes
12,Provision for Depreciation on Fixed Assets,12.6,"Lines, Cable Network etc.",12 612,Underground Cables-Cable Duct System,1261200000,Dep Prov - Underground Cables- Cable Duct System
12,Provision for Depreciation on Fixed Assets,12.6,"Lines, Cable Network etc.",12 631,Metering Equipments,1263100000,Dep Prov - Metering Equipments
12,Provision for Depreciation on Fixed Assets,12.6,"Lines, Cable Network etc.",12 631,Metering Equipments,1263100001,Dep Prov - Metering Equipments
12,Provision for Depreciation on Fixed Assets,12.6,"Lines, Cable Network etc.",12 641,Street Lighting and Signal System,1264100000,Dep Prov - Street Lighting and Signal System
12,Provision for Depreciation on Fixed Assets,12.6,"Lines, Cable Network etc.",12 685,Miscellaneous Equipments,1268500000,Dep Prov - Miscellaneous Equipments
12,Provision for Depreciation on Fixed Assets,12.7,Vehicles,12 710,"Trucks, Tempos, Trekkers etc.",1271000000,"Dep Prov - Trucks, Tempos, Trekkers etc."
12,Provision for Depreciation on Fixed Assets,12.7,Vehicles,12 720,Buses including Minibuses,1272000000,Dep Prov - Buses including Minibuses
12,Provision for Depreciation on Fixed Assets,12.7,Vehicles,12 730,Jeeps and Motor Cars,1273000000,Dep Prov - Jeeps and Motor Cars
12,Provision for Depreciation on Fixed Assets,12.7,Vehicles,12 730,Jeeps and Motor Cars,1273000001,Dep Prov - Jeeps and Motor Cars
12,Provision for Depreciation on Fixed Assets,12.7,Vehicles,12 740,Other Vehicles,1274000000,Dep Prov - Other Vehicles
12,Provision for Depreciation on Fixed Assets,12.8,Furniture & Fixtures,12 800,Furniture & Fixtures,1280000000,Dep Prov - Furniture & Fixtures
12,Provision for Depreciation on Fixed Assets,12.8,Furniture & Fixtures,12 800,Furniture & Fixtures,1280000001,Dep Prov - Furniture & Fixtures
12,Provision for Depreciation on Fixed Assets,12.9,Other Equipment,12 901,Calculators,1290100000,Dep Prov - Calculators
12,Provision for Depreciation on Fixed Assets,12.9,Other Equipment,12 902,Typewriters,1290200000,Dep Prov - Typewriters
12,Provision for Depreciation on Fixed Assets,12.9,Other Equipment,12 902,Typewriters,1290200001,Dep Prov - Typewriters
12,Provision for Depreciation on Fixed Assets,12.9,Other Equipment,12 904,Duplicators,1290400000,Dep Prov - Duplicators
12,Provision for Depreciation on Fixed Assets,12.9,Other Equipment,12 905,Photo State Machine,1290500000,Dep Prov - Photo State Machine
12,Provision for Depreciation on Fixed Assets,12.9,Other Equipment,12 906,Computers and Printers,1290600000,Dep Prov - Computers and Printers
12,Provision for Depreciation on Fixed Assets,12.9,Other Equipment,12 906,Computers and Printers,1290600001,Dep Prov - Computers and Printers
12,Provision for Depreciation on Fixed Assets,12.9,Other Equipment,12 907,Depreciation on Software,1290700000,Dep Prov - Depreciation on Software
12,Provision for Depreciation on Fixed Assets,12.9,Other Equipment,12 907,Depreciation on Software,1290700001,Dep Prov - Prov for Dep Intangible Assets - Software (FIGL)
12,Provision for Depreciation on Fixed Assets,12.9,Other Equipment,12 909,Other(Not specified),1290900000,Dep Prov - Other(Not specified)
12,Provision for Depreciation on Fixed Assets,12.9,Other Equipment,12 909,Other(Not specified),1290900001,Dep Prov - Other(Not specified)
13,Provision for Depreciation on other capital Expenditure/Fixed assets,,,New,,1300000000,Provision for depreciation on other capital exp.
13,Provision for Depreciation on other capital Expenditure/Fixed assets,13.6,Other Assets,13 60,Computer & Communication System,1360000000,Dep Prov - Other Assets - Computer & Communication System
14,Capital work -in Progress Accounts,,,New,,1400000000,Consumption A/C-Capital
14,Capital work -in Progress Accounts,,,New,,1400000001,Employee Cost Loading to Capital Works
14,Capital work -in Progress Accounts,,,New,,1400000002,Provision for Capital Expenditure in Progress
14,Capital work -in Progress Accounts,14.5,CWIP-800KV Lines,New,,1451101000,CWIP-800KV Lines-Land
14,Capital work -in Progress Accounts,,CWIP-800KV Lines,New,,1451102000,CWIP-800KV Lines-Building
14,Capital work -in Progress Accounts,,CWIP-800KV Lines,New,,1451103000,CWIP-800KV Lines-Hydraulic Works
14,Capital work -in Progress Accounts,,CWIP-800KV Lines,New,,1451104000,CWIP-800KV Lines-Other Civil Works
14,Capital work -in Progress Accounts,,CWIP-800KV Lines,New,,1451105000,CWIP-800KV Lines-Plant & machinery
14,Capital work -in Progress Accounts,,CWIP-800KV Lines,New,,1451106000,"CWIP-800KV Lines- Lines, Cables & Networks etc."
14,Capital work -in Progress Accounts,,CWIP-800KV Lines,New,,1451107000,CWIP-800KV Line
14,Capital work -in Progress Accounts,,CWIP-800KV Lines,New,,1451108000,CWIP-All Other Sources 800KV LineFurnt & Fixt
14,Capital work -in Progress Accounts,,CWIP-800KV Lines,New,,1451109000,CWIP-All Other Sources 800KV LineOffice Equipment
14,Capital work -in Progress Accounts,,CWIP-765KV Lines,New,,1451201000,CWIP-765KV Lines-Land
14,Capital work -in Progress Accounts,,CWIP-765KV Lines,New,,1451202000,CWIP-765KV Lines-Building
14,Capital work -in Progress Accounts,,CWIP-765KV Lines,New,,1451203000,CWIP-765KV Lines-Hydraulic Works
14,Capital work -in Progress Accounts,,CWIP-765KV Lines,New,,1451204000,CWIP-765KV Lines-Other Civil Works
14,Capital work -in Progress Accounts,,CWIP-765KV Lines,New,,1451205000,CWIP-765KV Lines-Plant & machinery
14,Capital work -in Progress Accounts,,CWIP-765KV Lines,New,,1451206000,"CWIP-765KV Lines- Lines, Cables & Networks etc."
14,Capital work -in Progress Accounts,,CWIP-765KV Lines,New,,1451207000,CWIP-All Other Sources 765KV LineVehicle
14,Capital work -in Progress Accounts,,CWIP-765KV Lines,New,,1451208000,CWIP-All Other Sources 765KV LineFurnt & Fixt
14,Capital work -in Progress Accounts,,CWIP-765KV Lines,New,,1451209000,CWIP-All Other Sources 765KV LineOffice Equipment
14,Capital work -in Progress Accounts,,CWIP-400KV Lines,New,,1451301000,CWIP-400KV Lines-Land
14,Capital work -in Progress Accounts,,CWIP-400KV Lines,New,,1451302000,CWIP-400KV Lines-Building
14,Capital work -in Progress Accounts,,CWIP-400KV Lines,New,,1451303000,CWIP-400KV Lines-Hydraulic Works
14,Capital work -in Progress Accounts,,CWIP-400KV Lines,New,,1451304000,CWIP-400KV Lines-Other Civil Works
14,Capital work -in Progress Accounts,,CWIP-400KV Lines,New,,1451305000,CWIP-400KV Lines-Plant & machinery
14,Capital work -in Progress Accounts,,CWIP-400KV Lines,New,,1451306000,CWIP-400KV Lines- Lines-Cables & Networks etc.
14,Capital work -in Progress Accounts,,CWIP-400KV Lines,New,,1451307000,CWIP-400KV Lines-Vehicle
14,Capital work -in Progress Accounts,,CWIP-400KV Lines,New,,1451308000,CWIP-400KV Lines-Furnt & Fixt
14,Capital work -in Progress Accounts,,CWIP-400KV Lines,New,,1451309000,CWIP-400KV Lines-Office Equipment
14,Capital work -in Progress Accounts,,CWIP-220KV Lines,New,,1451401000,CWIP-220KV Lines-Land
14,Capital work -in Progress Accounts,,CWIP-220KV Lines,New,,1451402000,CWIP-220KV Lines-Building
14,Capital work -in Progress Accounts,,CWIP-220KV Lines,New,,1451403000,CWIP-220KV Lines-Hydraulic Works
14,Capital work -in Progress Accounts,,CWIP-220KV Lines,New,,1451404000,CWIP-220KV Lines-Other Civil Works
14,Capital work -in Progress Accounts,,CWIP-220KV Lines,New,,1451405000,CWIP-220KV Lines-Plant & machinery
14,Capital work -in Progress Accounts,,CWIP-220KV Lines,New,,1451406000,"CWIP-220KV Lines- Lines, Cables & Networks etc."
14,Capital work -in Progress Accounts,,CWIP-220KV Lines,New,,1451406001,"CWIP-220KV Lines- Lines, Cables & Networks etc. GL"
14,Capital work -in Progress Accounts,,CWIP-220KV Lines,New,,1451407000,CWIP-220KV Lines-Vehicle
14,Capital work -in Progress Accounts,,CWIP-220KV Lines,New,,1451408000,CWIP-220KV Lines-Furnt & Fixt
14,Capital work -in Progress Accounts,,CWIP-220KV Lines,New,,1451409000,CWIP-220KV Lines-Office Equipment
14,Capital work -in Progress Accounts,,CWIP-132KV Lines,New,,1451501000,CWIP-132KV Lines-Land
14,Capital work -in Progress Accounts,,CWIP-132KV Lines,New,,1451502000,CWIP-132KV Lines-Building
14,Capital work -in Progress Accounts,,CWIP-132KV Lines,New,,1451503000,CWIP-132KV Lines-Hydraulic Works
14,Capital work -in Progress Accounts,,CWIP-132KV Lines,New,,1451504000,CWIP-132KV Lines-Other Civil Works
14,Capital work -in Progress Accounts,,CWIP-132KV Lines,New,,1451505000,CWIP-132KV Lines-Plant & machinery
14,Capital work -in Progress Accounts,,CWIP-132KV Lines,New,,1451506000,"CWIP-132KV Lines- Lines, Cables & Networks etc."
14,Capital work -in Progress Accounts,,CWIP-132KV Lines,New,,1451506001,"CWIP-132KV Lines- Lines, Cables & Networks etc. GL"
14,Capital work -in Progress Accounts,,CWIP-132KV Lines,New,,1451507000,CWIP-132KV Lines-Vehicle
14,Capital work -in Progress Accounts,,CWIP-132KV Lines,New,,1451508000,CWIP-132KV Lines-Furnt & Fixt
14,Capital work -in Progress Accounts,,CWIP-132KV Lines,New,,1451509000,CWIP-132KV Lines-Office Equipment
14,Capital work -in Progress Accounts,,CWIP-APTS 400KV Lines,New,,1451601000,CWIP-APTS 400KV Lines-Land
14,Capital work -in Progress Accounts,,CWIP-APTS 400KV Lines,New,,1451602000,CWIP-APTS 400KV Lines-Building
14,Capital work -in Progress Accounts,,CWIP-APTS 400KV Lines,New,,1451603000,CWIP-APTS 400KV Lines-Hydrulic Wrks
14,Capital work -in Progress Accounts,,CWIP-APTS 400KV Lines,New,,1451604000,CWIP-APTS 400KV Lines-Civil Works
14,Capital work -in Progress Accounts,,CWIP-APTS 400KV Lines,New,,1451605000,CWIP-APTS 400KV Lines-P & M
14,Capital work -in Progress Accounts,,CWIP-APTS 400KV Lines,New,,1451606000,CWIP-APTS 400KV Lines- Cabl&Netwk
14,Capital work -in Progress Accounts,,CWIP-APTS 400KV Lines,New,,1451607000,CWIP-APTS 400KV Lines-Vehicle
14,Capital work -in Progress Accounts,,CWIP-APTS 400KV Lines,New,,1451608000,CWIP-APTS 400KV Lines-Furnt & Fixt
14,Capital work -in Progress Accounts,,CWIP-APTS 400KV Lines,New,,1451609000,CWIP-APTS 400KV Lines-Ofic Eqpmnt
14,Capital work -in Progress Accounts,,CWIP-Other Lines,New,,1451901000,CWIP-Other Lines-Land
