Activity number,Material Group,Mat/Srv Group Desc.,Base Unit,Service Category,Service Category.1,Valuation Class,Val. Class Desc.,G/L Account,Service Short Text,Service Long Text,Deletion Indicator
300021,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O ASSISTANT FITTER,S/O ASSISTANT FITTER,
300022,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O DISTEMPERER,S/O DISTEMPERER,
300023,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O THATCHER,S/O THATCHER,
300024,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O BELDAR FOR STONE CUTTING,S/O BELDAR FOR STONE CUTTING,
300025,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O CAN MAN,S/O CAN MAN,
300026,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O ROCK DRILLER,S/O ROCK DRILLER,
300027,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O WELDER / MECHANIC/MOTOR REWINDER,S/O WELDER / MECHANIC/MOTOR REWINDER,
300028,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O MECHANIC GR II,S/O MECHANIC GR II,
300029,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O BULLOCK CART WITH TWO BULLOCKS,S/O BULLOCK CART WITH TWO BULLOCKS,
300030,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O SAWYER PAIR,S/O SAWYER PAIR,
300031,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O TWO DONKEYS WITH A DRIVER,S/O TWO DONKEYS WITH A DRIVER,
300032,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O BHANDHANI,S/O BHANDHANI,
300033,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O BRICK CARRIER,S/O BRICK CARRIER,
300034,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O BELDAR FOR FLOOR CUTTING & POLISH,S/O BELDAR FOR FLOOR CUTTING & POLISH,
300035,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O ELECTRICIAN WITH LICENCE & KIT,S/O ELECTRICIAN WITH LICENCE & KIT,
300036,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O PLUMBER GR II,S/O PLUMBER GR II,
300037,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O ELECTRICIAN GR II,S/O ELECTRICIAN GR II,
300038,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O BUGGI WITH DRIVER & BHAINSA(CH 3),S/O BUGGI WITH DRIVER & BHAINSA(CH 3),
300039,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O 5 DONKEYS & A DRIVER,S/O 5 DONKEYS & A DRIVER,
300040,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O FOR EVERY ADDITIONAL DONKEY,S/O FOR EVERY ADDITIONAL DONKEY,
300041,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O SWEEPER,S/O SWEEPER,
300042,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O DRIVER WITH LICENCE,S/O DRIVER WITH LICENCE,
300043,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O COOK,S/O COOK,
300044,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O MALI,S/O MALI,
300045,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O DRILLER / HEAD SINKER / PILE M/C OPR,S/O DRILLER / HEAD SINKER / PILE M/C OPR,
300046,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O ASST. DRILLER / ASST. SINKER,S/O ASST. DRILLER / ASST. SINKER,
300047,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O HELPER TO DRILLER / HELPER TO SINKER,S/O HELPER TO DRILLER / HELPER TO SINKER,
300048,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O O.P. UNIT OPERATOR,S/O O.P. UNIT OPERATOR,
300049,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O O.P. UNIT ASST. OPERATOR,S/O O.P. UNIT ASST. OPERATOR,
300050,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O COMPRESSOR OPERATOR,S/O COMPRESSOR OPERATOR,
300051,S0001,LABOUR RATES,DAY,Z003,CIVIL SERVICES,,,,S/O ASST. COMPR. OPERATOR,S/O ASST. COMPR. OPERATOR,
300052,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-SAND,COAL ETC-1ST KM","CARTAGE OF BALLAST,KANKAR,COAL GRIT OR SAND ETC. INCLUDING LOADING  AND UNLOADING BUT EXCL UDING STACKING AT PUCCA ROADS. FOR 1ST KM.",
300053,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-SAND,COAL ETC-2&3RD KM","CARTAGE OF BALLAST,KANKAR,COAL GRIT OR SAND ETC. INCLUDING LOADING  AND UNLOADING BUT EXCL UDING STACKING AT PUCCA ROADS. 2ND &3RD KM",
300054,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-SAND,COAL ETC-4&5TH KM","CARTAGE OF BALLAST,KANKAR,COAL GRIT OR SAND ETC. INCLUDING LOADING  AND UNLOADING BUT EXCL UDING STACKING AT PUCCA ROADS. 4TH AND 5TH KM",
300055,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-SAND,COAL ETC-6TO10KM","CARTAGE OF BALLAST,KANKAR,COAL GRIT OR SAND ETC. INCLUDING LOADING  AND UNLOADING BUT EXCL UDING STACKING AT PUCCA ROADS. 6TH TO 10 KM.",
300056,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-SAND,COAL ETC-11TO20KM","CARTAGE OF BALLAST,KANKAR,COAL GRIT OR SAND ETC. INCLUDING LOADING  AND UNLOADING BUT EXCL UDING STACKING AT PUCCA ROADS. 11TH TO 20TH KM.",
300057,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-SAND,COAL ETC-21TO30KM","CARTAGE OF BALLAST,KANKAR,COAL GRIT OR SAND ETC. INCLUDING LOADING  AND UNLOADING BUT EXCL UDING STACKING AT PUCCA ROADS. 21ST TO 30TH KM.",
300058,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-SAND,COAL ETC >30KM","CARTAGE OF BALLAST,KANKAR,COAL GRIT OR SAND ETC. INCLUDING LOADING  AND UNLOADING BUT EXCL UDING STACKING AT PUCCA ROADS. BEYOND 30TH KM.",
300059,S0003,CARTAGE,%,Z003,CIVIL SERVICES,,,,"CARTAGE,KACHA RD-SAND,COAL ETC","CARTAGE OF BALLAST,KANKAR,COAL GRIT OR SAND ETC. INCLUDING LOADING  AND UNLOADING BUT EXCL UDING STACKING AT PUCCA ROADS. FOR KACCHA ROAD ADD ON THE ABOVE RATES 33.33% AS PER U.P.PA RIVAHAN AYUKTA (TECH.)33.33% U.P. LETTER NO.7329-RT DATED 27TH.1962.",
300060,S0003,CARTAGE,%,Z003,CIVIL SERVICES,,,,"CARTAGE,KACHA RD-BRICKS","CARTAGE OF BALLAST,KANKAR,COAL GRIT OR SAND ETC. INCLUDING LOADING  AND UNLOADING BUT EXCL UDING STACKING AT PUCCA ROADS. FOR BRICKS (1CUM=460 NOS.) RATES BE REDUCED.",
300061,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-CEMENT,STL ETC-1ST KM","CARTAGE INCLUDING LOADING  AND UNLOADING BUT EXCLUDING STACKING AT PUCCA ROADS. FOR CEMENT ,STEEL OR OTHER SUCH MATERIAL,FOR IST KM.",
300062,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-CEMENT,STL ETC-2&3RD KM","CARTAGE FOR CEMENT,STEEL OR OTHER SUCH MATERIAL INCLUDING LOADING  AND UNLOADING BUT EXCLU DING STACKING AT PUCCA ROADS. 2ND AND 3RD KM.",
300063,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-CEMENT,STL ETC-4&5TH KM","CARTAGE FOR CEMENT,STEEL OR OTHER SUCH MATERIAL INCLUDING LOADING  AND UNLOADING BUT EXCLU DING STACKING AT PUCCA ROADS. 4TH AND 5TH KM.",
300064,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-CEMENT,STL ETC-6TO10KM","CARTAGE FOR CEMENT,STEEL OR OTHER SUCH MATERIAL INCLUDING LOADING  AND UNLOADING BUT EXCLU DING STACKING AT PUCCA ROADS. 6TH TO 10TH KM.",
300065,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-CEMENT,STL ETC-11TO20KM","CARTAGE FOR CEMENT,STEEL OR OTHER SUCH MATERIAL INCLUDING LOADING  AND UNLOADING BUT EXCLU DING STACKING AT PUCCA ROADS. 11TH TO 20TH KM.",
300066,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-CEMENT,STL ETC-21TO30KM","CARTAGE FOR CEMENT,STEEL OR OTHER SUCH MATERIAL INCLUDING LOADING  AND UNLOADING BUT EXCLU DING STACKING AT PUCCA ROADS. 21ST TO 30TH KM.",
300067,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-CEMENT,STL ETC >30KM","CARTAGE FOR CEMENT,STEEL OR OTHER SUCH MATERIAL INCLUDING LOADING  AND UNLOADING BUT EXCLU DING STACKING AT PUCCA ROADS. BEYOND 30TH KM.",
300068,S0003,CARTAGE,%,Z003,CIVIL SERVICES,,,,"CARTAGE,KACHA RD-CEMENT,STL ETC","CARTAGE FOR CEMENT,STEEL OR OTHER SUCH MATERIAL INCLUDING LOADING  AND UNLOADING BUT EXCLU DING STACKING AT PUCCA ROADS. FOR KACHCHA ROADS:ADD 33.33% ON THE ABOVE RATES.",
300069,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-TAR,OIL ETC-1ST KM","CARTAGE INCLUDING LOADING  AND UNLOADING BUT EXCLUDING STACKING AT PUCCA ROADS. FOR TAR, B ITUMEN,TARPHELT, MOBIL OIL & OTHER SUCH MATERIAL,FOR IST KM.",
300070,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-TAR,OIL ETC-2&3RD KM","CARTAGE INCLUDING FOR TAR, BITUMEN,TARPHELT, MOBIL OIL & OTHER SUCH MATERIAL LOADING  AND UNLOADING BUT EXCLUDING STACKING AT PUCCA ROADS. 2ND &3RD KM.",
300071,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-TAR,OIL ETC-4&5TH KM","CARTAGE INCLUDING FOR TAR, BITUMEN,TARPHELT, MOBIL OIL & OTHER SUCH MATERIAL LOADING  AND UNLOADING BUT EXCLUDING STACKING AT PUCCA ROADS. 4TH & 5TH KM.",
300072,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-TAR,OIL ETC-6TO10KM","CARTAGE INCLUDING FOR TAR, BITUMEN,TARPHELT, MOBIL OIL & OTHER SUCH MATERIAL LOADING  AND UNLOADING BUT EXCLUDING STACKING AT PUCCA ROADS. 6TH TO 10TH KM",
300073,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-TAR,OIL ETC-11TO20KM","CARTAGE INCLUDING FOR TAR, BITUMEN,TARPHELT, MOBIL OIL & OTHER SUCH MATERIAL LOADING  AND UNLOADING BUT EXCLUDING STACKING AT PUCCA ROADS. 11TH TO 20TH KM.",
300074,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-TAR,OIL ETC-21TO30KM","CARTAGE INCLUDING FOR TAR, BITUMEN,TARPHELT, MOBIL OIL & OTHER SUCH MATERIAL LOADING  AND UNLOADING BUT EXCLUDING STACKING AT PUCCA ROADS. 21ST TO 30 THE KM.",
300075,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,"CARTAGE,PUCCA RD-TAR,OIL ETC >30KM","CARTAGE INCLUDING FOR TAR, BITUMEN,TARPHELT, MOBIL OIL & OTHER SUCH MATERIAL LOADING  AND UNLOADING BUT EXCLUDING STACKING AT PUCCA ROADS. BEYOND 30 KM.",
300076,S0003,CARTAGE,%,Z003,CIVIL SERVICES,,,,"CARTAGE,KACHA RD-TAR,OIL ETC","CARTAGE INCLUDING FOR TAR, BITUMEN,TARPHELT, MOBIL OIL & OTHER SUCH MATERIAL LOADING  AND UNLOADING BUT EXCLUDING STACKING AT KACHA ROADS. FOR KACHCHA ROAD ADD 33.33% ON THE ABOVE RATES.",
300077,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE SAND,COAL BY HEAD 90M","CARTAGE OF BALLAST,KANKAR COAL,GRIT OR SAND ETC. BY HEAD LOAD UPTO 90 METERS(3 CHAINS) INC LUDING LOADING AND UNLOADING BUT EXCLUDING STACKING.",
300078,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"LOAD/UNLOAD-BALLAST,COAL EXCL STACKG",LOADING AND UNLOADING OF MATERIAL LIKE BALLAST. KANKAR COAL OR GRIT ETC. EXCLUDING THEIR S TACKING.,
300079,S0003,CARTAGE,%,Z003,CIVIL SERVICES,,,,LOAD/UNLOAD-BRICKS EXCL STACKG,FOR BRICKS REDUCE THE ABOVE FOR EVERY CUM OR 460 NOS. OF BRICKS.,
300080,S0003,CARTAGE,TON,Z003,CIVIL SERVICES,,,,"LOAD/UNLOAD-CEMENT,TAR FROM WAGON","UNLOADING OF CEMENT,TAR OR BITUMEN DRUM, LIGHTER STEEL SECTIONS AND OTHER SUCH MATERIALS F ROM WAGONS AND STACKING THE SAME ON PLATFORM.",
300081,S0003,CARTAGE,TON,Z003,CIVIL SERVICES,,,,LOAD/UNLOAD-HEAVY M/C FROM WAGON,UNLOADING FROM WAGONS AND STACKING THE SAME ON PLATFORM. FOR HEAVY ARTICLES LIKE JOISTS ET C. MACHINERIES AND UNWIELDLY STRUCTURES.,
300082,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,LOAD/UNLOAD-RCC PIPE 30-46CM FROM WAGON,UNLOADING FROM WAGONS AND STACKING THE SAME ON PLATFORM. FOR RCC HUME PIPE 30CM.TO 46CM.DI A EACH AND 1.8 METER TO 2.5 METER IN LENGTH (INCLUDING NECESSARY COLLARS FOR WHICH NOTHING  EXTRA SHALL BE PAID),
300083,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,LOAD/UNLOAD-RCC PIPE 50-95CM FROM WAGON,UNLOADING FROM WAGONS AND STACKING THE SAME ON PLATFORM. FOR RCC HUME PIPE 50CM.TO 95CM.DI A EACH AND 1.8 METER TO 2.5 METER IN LENGTH (INCLUDING NECESSARY COLLARS FOR WHICH NOTHING  EXTRA SHALL BE PAID),
300084,S0003,CARTAGE,%,Z003,CIVIL SERVICES,,,,BRICK STACKING 2RX10HX100L W/DRESSING,STACKING OF BRICKS ON EDGE IN ROW OF TWO TO A HEIGHT OF TEN BRICKS AND IN A LENGTH OF 100 BRICKS AFTER DRESSING LEVELLING OF THE SITE AS REQUIED WHERE BRICKS ARE TO BE STACKED.,
300085,S0003,CARTAGE,M3,Z003,CIVIL SERVICES,,,,"STACKING OF COAL,STONE,BALLAST ETC","STACKING OF COAL,SURKHI,SAND,LIME,STONE GRIT,STONE/BRICK BALLAST AND BOULDERS ETC.TO THE R EQUIRED SIZE OF STACKS AFTER NECESSARY DRESSING OF SITE WHERE SUCH MATERIALS ARE TO BE STA CKED.",
300086,S0003,CARTAGE,TON,Z003,CIVIL SERVICES,,,,"STACKING OF CEMENT,STEEL ETC",STACKING 2RX10HX100L  WHEN THE MATERIALS ARE EITHER CEMENT OR STEEL.,
300087,S0003,CARTAGE,TON,Z003,CIVIL SERVICES,,,,"LOADING CEMENT,TAR,DRUMS,STEEL TO WAGON","LOADING OF CEMENT,TAR,BITUMEN, DRUMS, LIGHTER SECTIONS OF STEEL AND OTHER SUCH MATERIALS I NTO WAGONS.",
300088,S0003,CARTAGE,TON,Z003,CIVIL SERVICES,,,,LOADING HEAVY M/C TO WAGON,"LOADING INTO WAGONS FOR HEAVY ARTICLES LIKE JOISTS,ETC.MACHINERIES AND UNWIELDLY STRUCTURE S.",
300089,S0003,CARTAGE,KM,Z003,CIVIL SERVICES,,,,CARTAGE HEAVY M/C INC LOADG,CARTAGE OF HEAVY ARTICLES LIKE JOISTS ETC. MACHINERIES AND UNWIELDLY STRUCTURES INCLUDING LOADING BUT EXCLUDING STACKING (BY THELA 0-8 KM.),
300090,S0003,CARTAGE,%,Z003,CIVIL SERVICES,,,,CARTAGE HEAVY M/C INC LOADG ABOVE 8KM,AS IN ITEM NO.3.09(A) ABOVE BUT WHERE THE DISTANCE EXCEEDS 8 KM REDUCE THE RATE OF ITEM NO .3.09(A) BY 50 % FOR SUBSEQUENT KM BEYOND 8 KM.,
300091,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE,RCC PIPE 30-46CMX1.8-2.5M,1KM","CARTAGE OF RCC HUME PIPE 30 CM.TO 46CM. DIA AND 1.8 METRE TO 2.5 METRE LENGTH (INCLUDING C OLLARS FOR WHICH NOTHING EXTRA WILL BE PAID) INCLUDING LOADING AND UNLOADING,FOR IST KM.",
300092,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE,RCC PIPE 30-46CMX1.8-2.5M,2&3KM","CARTAGE OF RCC HUME PIPE 30 CM.TO 46CM. DIA AND 1.8 METRE TO 2.5 METRE LENGTH (INCLUDING C OLLARS FOR WHICH NOTHING EXTRA WILL BE PAID) INCLUDING LOADING AND UNLOADING,FOR  2ND & 3R D KM",
300093,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE,RCC PIPE 30-46CMX1.8-2.5M,4&5KM","CARTAGE OF RCC HUME PIPE 30 CM.TO 46CM. DIA AND 1.8 METRE TO 2.5 METRE LENGTH (INCLUDING C OLLARS FOR WHICH NOTHING EXTRA WILL BE PAID) INCLUDING LOADING AND UNLOADING,FOR  4TH & 5T H KM.",
300094,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE,RCC PIPE 30-46CMX1.8-2.5M,6-10KM","CARTAGE OF RCC HUME PIPE 30 CM.TO 46CM. DIA AND 1.8 METRE TO 2.5 METRE LENGTH (INCLUDING C OLLARS FOR WHICH NOTHING EXTRA WILL BE PAID) INCLUDING LOADING AND UNLOADING,FOR  6TH TO 1 0TH KM.",
300095,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE,RCCPIPE 30-46CMX1.8-2.5M,11-20KM","CARTAGE OF RCC HUME PIPE 30 CM.TO 46CM. DIA AND 1.8 METRE TO 2.5 METRE LENGTH (INCLUDING C OLLARS FOR WHICH NOTHING EXTRA WILL BE PAID) INCLUDING LOADING AND UNLOADING,FOR  11TH TO 20TH KM",
300096,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE,RCCPIPE 30-46CMX1.8-2.5M,21-30KM","CARTAGE OF RCC HUME PIPE 30 CM.TO 46CM. DIA AND 1.8 METRE TO 2.5 METRE LENGTH (INCLUDING C OLLARS FOR WHICH NOTHING EXTRA WILL BE PAID) INCLUDING LOADING AND UNLOADING,FOR  21ST TO 30TH KM.",
300097,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE,RCCPIPE 30-46CMX1.8-2.5M, >30KM","CARTAGE OF RCC HUME PIPE 30 CM.TO 46CM. DIA AND 1.8 METRE TO 2.5 METRE LENGTH (INCLUDING C OLLARS FOR WHICH NOTHING EXTRA WILL BE PAID) INCLUDING LOADING AND UNLOADING,FOR  BEYOND 3 0 KM.",
300098,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE,RCC PIPE 50-95CMX1.8-2.5M,1KM","CARTAGE (INCLUDING COLLARS FOR WHICH NOTHING EXTRA WILL BE PAID) INCLUDING LOADING AND UNL OADING,FOR  AS IN ITEM NO.3.09(C)  ABOVE  BUT FOR RCC HUME PIPES 50 TO 95CM. DIA AND 1.8 M ETRE TO 2.5 METRE LENGTH CARRIAGE TO BE DONE BY TRUCK OR BY THELA,FOR IST KM.",
300099,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE,RCC PIPE 50-95CMX1.8-2.5M,2&3KM","CARTAGE (INCLUDING COLLARS FOR WHICH NOTHING EXTRA WILL BE PAID) INCLUDING LOADING AND UNL OADING,FOR RCC HUME PIPES 50 TO 95CM. DIA AND 1.8 METRE TO 2.5 METRE LENGTH CARRIAGE TO BE  DONE BY TRUCK OR BY THELA,FOR  2ND & 3RD KM.",
300100,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE,RCC PIPE 50-95CMX1.8-2.5M,4&5KM","CARTAGE (INCLUDING COLLARS FOR WHICH NOTHING EXTRA WILL BE PAID) INCLUDING LOADING AND UNL OADING,FOR RCC HUME PIPES 50 TO 95CM. DIA AND 1.8 METRE TO 2.5 METRE LENGTH CARRIAGE TO BE  DONE BY TRUCK OR BY THELA,FOR  4TH AND 5TH KM.",
300101,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE,RCC PIPE 50-95CMX1.8-2.5M,6-10KM","CARTAGE (INCLUDING COLLARS FOR WHICH NOTHING EXTRA WILL BE PAID) INCLUDING LOADING AND UNL OADING,FOR RCC HUME PIPES 50 TO 95CM. DIA AND 1.8 METRE TO 2.5 METRE LENGTH CARRIAGE TO BE  DONE BY TRUCK OR BY THELA,FOR  6TH TO 10TH KM.",
300102,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE,RCCPIPE 50-95CMX1.8-2.5M,11-20KM","CARTAGE (INCLUDING COLLARS FOR WHICH NOTHING EXTRA WILL BE PAID) INCLUDING LOADING AND UNL OADING,FOR RCC HUME PIPES 50 TO 95CM. DIA AND 1.8 METRE TO 2.5 METRE LENGTH CARRIAGE TO BE  DONE BY TRUCK OR BY THELA,FOR  11TH TO 20TH KM.",
300103,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE,RCCPIPE 50-95CMX1.8-2.5M,21-30KM","CARTAGE (INCLUDING COLLARS FOR WHICH NOTHING EXTRA WILL BE PAID) INCLUDING LOADING AND UNL OADING,FOR RCC HUME PIPES 50 TO 95CM. DIA AND 1.8 METRE TO 2.5 METRE LENGTH CARRIAGE TO BE  DONE BY TRUCK OR BY THELA,FOR  21ST TO 30TH KM.",
300104,S0003,CARTAGE,EA,Z003,CIVIL SERVICES,,,,"CARTAGE,RCCPIPE 50-95CMX1.8-2.5M, >30KM","CARTAGE (INCLUDING COLLARS FOR WHICH NOTHING EXTRA WILL BE PAID) INCLUDING LOADING AND UNL OADING,FOR RCC HUME PIPES 50 TO 95CM. DIA AND 1.8 METRE TO 2.5 METRE LENGTH CARRIAGE TO BE  DONE BY TRUCK OR BY THELA,FOR  BEYOND 30 KM.",
300105,S0004,EARTH WORK,M3,Z003,CIVIL SERVICES,,,,EXCAVATION-ORDINARY SOIL UPTO 1.5M,"EXCAVATION IN FOUNDATION IN ORDINARY SOIL (LOAM CLAY OR SAND) INCLUDING LIFT   UPTO 1.5M A ND LEAD UPTO 30M AND INCLUDING FILLING, WATERING AND RAMMING OF   EXCAVATED EARTH INTO THE  TRENCHES OR INTO THE SPACE BETWEEN THE BUILDING AND SIDES OF THE FOUNDATION WORK. (CSI NO . 4.01)",
300106,S0004,EARTH WORK,M3,Z003,CIVIL SERVICES,,,,EXCAVATION-SOIL W/MORUM/KANKAR UPTO 1.5M,"EXCAVATION IN FOUNDATION IN SOIL MIXED WITH MOORUM/ SHINGLE/   KANKAR REQUIRING THE USE OF  SPECIAL T&P SUCH AS PICKAXES, SABBALS ETC INCLUDING LIFT UPTO 1.5M & LEAD UPTO 30M AND IN CLUDING FILLING, WATERING AND RAMMING OF EXCAVATED EARTH INTO THE TRENCHES OR INTO THE SPA CE BETWEEN THE BUILDING & SIDES OF THE FOUNDATION. (CSI NO. 4.02)",
